LINE, REF, QTY, TYP, PN, MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,PiUpdi SMD,,,TOTAL,
,,,,,,9/19/19 (19260^0),,,=SUM(J5:J100),
,,,,,,,,,,
1,C1 C3 C4 C5 C6 C7,6,C-C,0603X7R50V104K,TDK@C1608X7R1H104K080AA,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C5*I5,ADPT
2,C2,1,C-T,106A,AVX@TPSA106K010R0900,CAP TANT 10UF 10V 10% ESR .9OHM 1206,(1),0.3575,=C6*I6,ADPT
3,Q1,1,Q-PCH,DMB,DIODES@DMP3098L-7,MOSFET P-CH 3.8A 30V SOT23,(1),0.1482,=C7*I7,FTDI
4,Q2 Q3,2,Q-NCH,K38,DIODES@BSS138-7-F,MOSFET N-CH 200MA 50V SOT23,(1),0.1132,=C8*I8,ADPT
5,Q4,1,Q-PCH,K84,DIODES@BSS84-7-F,MOSFET P-CH 130MA 50V SOT23,(1),0.1614,=C9*I9,IRRIGATE7
6,R1 R3,2,R-C,0805KX1001,YAGEO@RC0805FR-071KL,RESISTOR CHIP 1% 1KOHM 0805,(1),0.0025,=C10*I10,HT
7,R2 R4 R5 R8,4,R-C,0805KX1002,YAGEO@RC0805FR-0710KL,RESISTOR CHIP 1% 10KOHM 0805,(1),0.0025,=C11*I11,ADPT
8,R6,1,R-C,0805KX182R,YAGEO@RC0805FR-07182RL,RESISTOR CHIP 1% 182OHM 0805,(1),0.0025,=C12*I12,IRRIGATE7
9,R7 R9 R10,3,R-C,0805KX3011,YAGEO@RC0805FR-073K01L,RESISTOR CHIP 1% 3K01OHM 0805,(1),0.0064,=C13*I13,ADPT
10,R11,1,R-C,0805KX1821,YAGEO@RC0805FR-071K82L,RESISTOR CHIP 1% 1K82OHM 0805,(1),0.0064,=C14*I14,RPUPI
11,U2 U4,2,U-7400,Z4,DIODES@74LVC2G07W6-7,LOGIC BUFFER OPEN DRAIN SOT26,(1),0.314,=C15*I15,PIUPDI
12,U3,0,U-AVR,ATMEGA4809-PF,ATMEL@ATMEGA4809-PF,MCU AVR8 48KB FLASH 20MHZ 40PDIP,(2),2.29,=C16*I16,PIUPDI
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
,,,,,,(2) not smd and not provided with board,,,,




